code	name	administrative_center	area	population	region
101	Copenhagen	Copenhagen	74.7	549050	DK011
751	Aarhus	Aarhus	467.8	314545	DK042
851	Aalborg	Aalborg	1137.2	201142	DK050
461	Odense	Odense	305.7	191610	DK031
561	Esbjerg	Esbjerg	794.7	115112	DK032
630	Vejle	Vejle	1058.8	108021	DK032
147	Frederiksberg	Frederiksberg	8.1	100215	DK011
730	Randers	Randers	747.6	95756	DK042
791	Viborg	Viborg	1408.7	93819	DK041
621	Kolding	Kolding	607.1	89412	DK032
740	Silkeborg	Silkeborg	850.5	89328	DK042
657	Herning	Herning	1321.4	86348	DK041
615	Horsens	Horsens	519.8	83598	DK042
265	Roskilde	Roskilde	211.9	83137	DK021
370	Næstved	Næstved	676.3	81012	DK022
330	Slagelse	Slagelse	567.9	77310	DK022
540	Sønderborg	Sønderborg	496.8	76094	DK032
157	Gentofte	Charlottenlund	25.6	72814	Gentofte
316	Holbæk	Holbæk	577.3	69415	DK022
860	Hjørring	Hjørring	926.2	66178	DK050
159	Gladsaxe	Buddinge	24.9	65303	Gentofte
376	Guldborgsund	Nykøbing Falster	899.7	61913	DK022
217	Helsingør	Helsingør	118.9	61493	DK013
813	Frederikshavn	Frederikshavn	650.3	61158	DK050
580	Aabenraa	Aabenraa	940.7	59600	DK032
479	Svendborg	Svendborg	415.5	58551	DK031
746	Skanderborg	Skanderborg	416.7	58008	DK042
760	Ringkøbing-Skjern	Ringkøbing and Skjern	1469.6	57892	DK041
259	Køge	Køge	256.5	57307	DK021
661	Holstebro	Holstebro	793	57153	DK041
510	Haderslev	Haderslev	815.9	56188	DK032
230	Rudersdal	Holte	73.4	54630	DK013
173	Lyngby-Taarbæk	Kongens Lyngby	38.8	53251	DK012
430	Faaborg-Midtfyn	Ringe	633.7	51635	DK031
167	Hvidovre	Hvidovre	23	50600	DK012
573	Varde	Varde	1240	50193	DK032
607	Fredericia	Fredericia	133.6	50193	DK032
326	Kalundborg	Kalundborg	575.2	48632	DK022
219	Hillerød	Hillerød	214.9	48203	DK013
169	Høje-Taastrup	Taastrup	78.4	48081	DK012
151	Ballerup	Ballerup	33.8	47994	DK012
253	Greve	Greve Strand	60.4	47942	DK021
779	Skive	Skive	683.3	47620	DK041
710	Favrskov	Hadsten Hinnerup Hammel and Hvorslev	540.3	47117	DK042
766	Hedensted	Hedensted	551.3	46029	DK042
390	Vordingborg	Vordingborg	619.5	45804	DK022
360	Lolland	Maribo	881.9	45241	DK022
787	Thisted	Thisted	1068.6	44908	DK050
250	Frederikssund	Frederikssund	247	44345	DK013
575	Vejen	Vejen	813.5	42785	DK032
846	Mariagerfjord	Hobro and Hadsund	718.2	42429	DK050
240	Egedal	Ølstykke	125.8	41821	DK013
706	Syddjurs	Rønde	689.8	41815	DK042
420	Assens	Assens	511.3	41443	DK031
400	Bornholm	Rønne	588.1	41303	DK014
185	Tårnby	Tårnby	66	41151	DK011
756	Ikast-Brande	Ikast	733.4	40658	DK041
270	Gribskov	Helsinge	279.5	40603	DK013
210	Fredensborg	Kokkedal	112.1	39565	DK013
550	Tønder	Tønder	1281.8	39083	DK032
849	Jammerbugt	Aabybro	863.9	38611	DK050
190	Furesø	Værløse	56.8	38243	DK013
707	Norddjurs	Grenaa	720.9	37876	DK042
410	Middelfart	Middelfart	298.8	37612	DK031
820	Vesthimmerland	Aars	769.9	37534	DK050
175	Rødovre	Rødovre	12.1	36883	DK012
810	Brønderslev	Brønderslev	633	35754	DK050
320	Faxe	Haslev	405	35110	DK022
153	Brøndby	Brøndbyvester	21	34084	DK012
329	Ringsted	Ringsted	294.6	33153	DK022
306	Odsherred	Højby	354	32640	DK022
450	Nyborg	Nyborg	276.7	31486	DK031
260	Halsnæs	Frederiksværk	121.8	30980	DK013
340	Sorø	Sorø	308.4	29393	DK022
480	Nordfyn	Bogense	452.3	29330	DK031
840	Rebild	Støvring	621.3	28911	DK050
165	Albertslund	Albertslund	23.2	27864	DK012
350	Lejre	Hvalsø	238.9	26887	DK021
163	Herlev	Herlev	12.1	26608	DK012
530	Billund	Grindsted	540.3	26220	DK032
223	Hørsholm	Hørsholm	31.3	24365	DK013
201	Allerød	Lillerød	67.5	24043	DK013
440	Kerteminde	Kerteminde	205.8	23793	DK031
671	Struer	Struer	246.2	22098	DK041
336	Stevns	Store Heddinge	250.2	21855	DK022
727	Odder	Odder	223.6	21749	DK042
161	Glostrup	Glostrup	13.3	21650	DK012
773	Morsø	Nykøbing Mors	366.5	21474	DK050
665	Lemvig	Lemvig	502.8	21384	DK041
269	Solrød	Solrød Strand	40.1	21156	DK021
183	Ishøj	Ishøj	26.4	21087	DK012
187	Vallensbæk	Vallensbæk	9.5	14565	DK012
155	Dragør	Dragør and Store Magleby	18.3	13692	DK011
482	Langeland	Rudkøbing	288.8	13094	DK031
492	Ærø	Marstal	90.1	6636	DK031
741	Samsø	Tranebjerg	113.5	3889	DK042
563	Fanø	Nordby	54.6	3251	DK032
825	Læsø	Byrum	118.9	1897	DK050