division	location
Syddanmark	Middelfart
Syddanmark	Esbjerg V
Syddanmark	Vejle
Nordjylland	Svenstrup J
Nordjylland	Saeby
Nordjylland	Farsoe
Nordjylland	Hadsund
Midtjylland	Viby J
Nordjylland	Stoevring
Nordjylland	Aalborg
Sjaelland	Roskilde
Sjaelland	Koege
Midtjylland	Odder
Sjaelland	Naestved
Sjaelland	Bjaeverskov
Midtjylland	Malling
Sjaelland	Solroed Strand
Sjaelland	Greve
Sjaelland	Karlslunde
Sjaelland	Kalundborg
Midtjylland	Silkeborg
Midtjylland	Aarhus C
Midtjylland	Beder
Midtjylland	Egaa
Midtjylland	Galten
Midtjylland	Oestbirk
Midtjylland	Randers SOe
Midtjylland	Aarhus N
Midtjylland	Herning
Midtjylland	Sunds
Hovedstaden	Dyssegaard
Hovedstaden	Klampenborg
Hovedstaden	Koebenhavn V
Hovedstaden	Valby
Hovedstaden	Frederiksberg
Hovedstaden	Holte
Hovedstaden	Charlottenlund
Hovedstaden	Gentofte
Hovedstaden	Hellerup
Hovedstaden	Lynge
Hovedstaden	Roedovre
Hovedstaden	Broendby
Sjaelland	Lundby
Hovedstaden	Hvidovre
Hovedstaden	Vallensbaek Strand
Hovedstaden	Vanloese
Hovedstaden	Koebenhavn SV
Sjaelland	Munke Bjergby
Sjaelland	Haslev
Syddanmark	Broby
Hovedstaden	Virum
Hovedstaden	Frederiksberg C
Hovedstaden	Broenshoej
Midtjylland	Risskov
Hovedstaden	Espergaerde
Nordjylland	Vodskov
Midtjylland	Thorsoe
Hovedstaden	Hoersholm
Midtjylland	Faarvang
Nordjylland	Thisted
Hovedstaden	Ishoej
Midtjylland	Skive
Midtjylland	Roslev
Hovedstaden	Birkeroed
Syddanmark	Svendborg
Sjaelland	Nykoebing Sj
Sjaelland	Hoeng
Hovedstaden	Koebenhavn NV
Sjaelland	Gadstrup
Sjaelland	Dianalund
Hovedstaden	Kokkedal
Hovedstaden	Hilleroed
Hovedstaden	Rungsted Kyst
Sjaelland	Oester Ulslev
Sjaelland	Holbaek
Hovedstaden	Gilleleje
Hovedstaden	Skovlunde
Sjaelland	Slagelse
Sjaelland	Hoerve
Hovedstaden	Farum
Nordjylland	Nibe
Hovedstaden	Kastrup
Hovedstaden	Herlev
Hovedstaden	Bagsvaerd
Sjaelland	Langebaek
Hovedstaden	Helsinge
Sjaelland	Kirke Hyllinge
Hovedstaden	Kongens Lyngby
Hovedstaden	Soeborg
Midtjylland	Skanderborg
Nordjylland	Mariager
Syddanmark	Odense C
Syddanmark	Odense SV
Sjaelland	Mern
Syddanmark	Nyborg
Syddanmark	Otterup
Syddanmark	Faaborg
Hovedstaden	Stenloese
Syddanmark	Odense M
Syddanmark	Ullerslev
Nordjylland	Brovst
Midtjylland	Tjele
Syddanmark	Vester Skerninge
Syddanmark	Assens
Midtjylland	Lystrup
Syddanmark	Mesinge
Midtjylland	Hovedgaard
Syddanmark	Odense N
Syddanmark	Tommerup
Sjaelland	Korsoer
Sjaelland	Tureby
Sjaelland	Fuglebjerg
Hovedstaden	Koebenhavn Oe
Hovedstaden	Koebenhavn N
Hovedstaden	Broendby Strand
Hovedstaden	Glostrup
Hovedstaden	Koebenhavn S
Hovedstaden	Koebenhavn K
Sjaelland	Skaelskoer
Sjaelland	Faxe Ladeplads
Nordjylland	Hobro
Hovedstaden	Helsingoer
Sjaelland	Noerre Alslev
Hovedstaden	Frederikssund
Hovedstaden	Kgs. Lyngby
Hovedstaden	Oelsted
Sjaelland	Ringsted
Hovedstaden	Oelstykke
Sjaelland	Vig
Nordjylland	Noerresundby
Hovedstaden	Vejby
Midtjylland	Ry
Sjaelland	Hoejby
Syddanmark	Aeroeskoebing
Hovedstaden	Ballerup
Syddanmark	Hesselager
Hovedstaden	Humlebaek
Syddanmark	Tjaereborg
Sjaelland	Store Heddinge
Syddanmark	Kolding
Sjaelland	Grevinge
Syddanmark	Kerteminde
Hovedstaden	Maaloev
Hovedstaden	Alleroed
Hovedstaden	Vaerloese
Hovedstaden	Frederiksvaerk
Hovedstaden	Dragoer
Hovedstaden	Smoerum
Hovedstaden	Nordhavn
Hovedstaden	Hedehusene
Hovedstaden	Albertslund
Syddanmark	Rynkeby
Nordjylland	Aalborg SV
Syddanmark	Odense S
Nordjylland	Jerslev J
Sjaelland	Praestoe
Midtjylland	Hornsyld
Syddanmark	Fredericia
Midtjylland	Hinnerup
Syddanmark	Odense NV
Sjaelland	Vordingborg
Syddanmark	Bjert
Sjaelland	Kirke Saaby
Syddanmark	Toender
Syddanmark	Haderslev
Sjaelland	Borup
Midtjylland	Tilst
Syddanmark	Dalby
Syddanmark	Aabenraa
Midtjylland	Hasselager
Sjaelland	Soroe
Midtjylland	Holstebro
Midtjylland	Grenaa
Midtjylland	Tranbjerg J
Nordjylland	Aars
Midtjylland	Moerke
Sjaelland	Nakskov
Midtjylland	Brabrand
Sjaelland	Kalvehave
Sjaelland	Nykoebing F
Midtjylland	Aarhus V
Sjaelland	Sveboelle
Midtjylland	Soervad
Sjaelland	Jyllinge
Sjaelland	Sandved
Sjaelland	Tappernoeje
Sjaelland	Karise
Sjaelland	Sakskoebing
Sjaelland	Boeslunde
Midtjylland	Them
Hovedstaden	Taastrup
Nordjylland	Hjallerup
Nordjylland	Hanstholm
Nordjylland	Hjoerring
Hovedstaden	Slangerup
Nordjylland	Broenderslev
Nordjylland	Frederikshavn
Sjaelland	Maribo
Nordjylland	Aalborg Oest
Sjaelland	Dannemare
Syddanmark	Soendersoe
Sjaelland	Tune
Hovedstaden	Nivaa
Nordjylland	Sulsted
Syddanmark	Odense NOe
Nordjylland	Oestervraa
Hovedstaden	Graested
Hovedstaden	Roenne
Syddanmark	Odense SOe
Syddanmark	Ribe
Syddanmark	Grindsted
Syddanmark	Esbjerg
Nordjylland	Nykoebing M
Nordjylland	Aalestrup
Nordjylland	Skoerping
Syddanmark	Give
Nordjylland	Baelum
Syddanmark	Bramming
Hovedstaden	Skaevinge
Nordjylland	Loekken
Hovedstaden	Kvistgaard
Hovedstaden	Fredensborg
Syddanmark	Odense V
Syddanmark	Oelgod
Syddanmark	Oerbaek
Sjaelland	Guldborg
Sjaelland	Holmegaard
Syddanmark	Esbjerg Oe
Syddanmark	Vejle Oest
Sjaelland	Lille Skensved
Nordjylland	Vestbjerg
Syddanmark	Soenderborg
Nordjylland	Noerager
Nordjylland	Aabybro
Nordjylland	Aalborg SOe
Hovedstaden	Hornbaek
Syddanmark	Sydals
Syddanmark	Esbjerg N
Syddanmark	Vorbasse
Sjaelland	Stubbekoebing
Midtjylland	Lemvig
Nordjylland	Vestervig
Sjaelland	Holeby
Midtjylland	Hoejbjerg
Midtjylland	Soender Felding
Midtjylland	Hammel
Sjaelland	Faxe
Sjaelland	Karrebaeksminde
Syddanmark	Krusaa
Hovedstaden	Goerloese
Hovedstaden	Jaegerspris
Syddanmark	Soender Stenderup
Syddanmark	Gudme
Hovedstaden	Skodsborg
Sjaelland	Hvalsoe
Hovedstaden	Melby
Hovedstaden	Aalsgaarde
Hovedstaden	Hundested
Hovedstaden	Dronningmoelle
Midtjylland	Allingaabro
Hovedstaden	Skibby
Nordjylland	Sindal
Nordjylland	Bindslev
Sjaelland	Moerkoev
Hovedstaden	Naerum
Sjaelland	Herlufmagle
Nordjylland	Taars
Sjaelland	Nyrup
Sjaelland	Goerlev
Syddanmark	Boerkop
Syddanmark	Gredstedbro
Hovedstaden	Vallensbaek
Sjaelland	Fjenneslev
Nordjylland	Pandrup
Nordjylland	Arden
Hovedstaden	Snekkersten
Sjaelland	Vipperoed
Sjaelland	Herfoelge
Sjaelland	Vemmelev
Syddanmark	Rudkoebing
Syddanmark	Roedekro
Nordjylland	Erslev
Hovedstaden	Veksoe Sjaelland
Syddanmark	Almind
Syddanmark	Soender Omme
Sjaelland	Askeby
Midtjylland	Viborg
Midtjylland	Hoerning
Sjaelland	Toelloese
Syddanmark	Billund
Midtjylland	Videbaek
Sjaelland	Ruds Vedby
Nordjylland	Terndrup
Midtjylland	Horsens
Nordjylland	Hirtshals
Nordjylland	Klarup
Syddanmark	Ferritslev Fyn
Nordjylland	Loegstoer
Nordjylland	Gandrup
Sjaelland	Glumsoe
Syddanmark	Vojens
Syddanmark	Morud
Midtjylland	Ringkoebing
Midtjylland	Randers NOe
Midtjylland	Vildbjerg
Midtjylland	Ulfborg
Midtjylland	Randers C
Hovedstaden	Svaneke
Hovedstaden	Hasle
Midtjylland	Spjald
Nordjylland	Kongerslev
Midtjylland	Randers NV
Midtjylland	Struer
Syddanmark	Janderup Vestj
Hovedstaden	Gudhjem
Hovedstaden	Vedbaek
Midtjylland	Trige
Midtjylland	Sabro
Midtjylland	Harlev J
Syddanmark	Holsted
Syddanmark	Vejen
Midtjylland	Aabyhoej
Midtjylland	Laasby
Syddanmark	Oure
Nordjylland	Vesloes
Sjaelland	Viby Sjaelland
Sjaelland	Soellested
Midtjylland	Spentrup
Midtjylland	Tarm
Midtjylland	Randers SV
Syddanmark	Aarslev
Nordjylland	Dronninglund
Nordjylland	Skagen
Midtjylland	Ebeltoft
Syddanmark	Graasten
Midtjylland	Kjellerup
Sjaelland	Ugerloese
Midtjylland	Hjortshoej
Midtjylland	Oersted
Midtjylland	Rask Moelle
Syddanmark	Padborg
Midtjylland	Skjern
Midtjylland	Ikast
Sjaelland	Stenlille
Midtjylland	Skoedstrup
Midtjylland	Bording
Hovedstaden	Tisvildeleje
Syddanmark	Ebberup
Midtjylland	Ejstrupholm
Syddanmark	Aarup
Syddanmark	Langeskov
Syddanmark	Tistrup
Syddanmark	Marslev
Midtjylland	Spoettrup
Midtjylland	Bryrup
Midtjylland	Noerre Snede
Syddanmark	Lunderskov
Syddanmark	Munkebo
Midtjylland	Loesning
Midtjylland	Klovborg
Hovedstaden	Nexoe
Midtjylland	Stouby
Nordjylland	Gistrup
Syddanmark	Christiansfeld
Syddanmark	Loegumkloster
Midtjylland	Juelsminde
Midtjylland	Hoejslev
Syddanmark	Ejby
Midtjylland	Skals
Syddanmark	Ringe
Nordjylland	Aalbaek
Syddanmark	Millinge
Midtjylland	Maarslet
Syddanmark	Haarby
Midtjylland	Hadsten
Syddanmark	Varde
Sjaelland	Havdrup
Syddanmark	Bogense
Syddanmark	Roedding
Nordjylland	Suldrup
Syddanmark	Aarre
Sjaelland	Lejre
Sjaelland	Faarevejle
Midtjylland	Roende
Nordjylland	Blokhus
Hovedstaden	Liseleje
Sjaelland	Svinninge
Midtjylland	Loegstrup
Nordjylland	Snedsted
Syddanmark	Agerbaek
Sjaelland	Jyderup
Nordjylland	Bedsted Thy
Sjaelland	Agersoe
Syddanmark	Kvaerndrup
Syddanmark	Ryslinge
Midtjylland	Kibaek
Syddanmark	Toftlund
Nordjylland	Hals
Sjaelland	Roedvig Stevns
Nordjylland	Strandby
Midtjylland	Karup J
Midtjylland	Ans By
Sjaelland	Roennede
Sjaelland	Store Fuglede
Nordjylland	Laesoe
Syddanmark	Henne
Syddanmark	Egtved
Syddanmark	Nordborg
Syddanmark	Asperup
Syddanmark	Skaarup Fyn
Syddanmark	Bredebro
Syddanmark	Branderup J
Syddanmark	Broerup
Syddanmark	Ansager
Syddanmark	Foevling
Midtjylland	Flemming
Nordjylland	Redsted M
Syddanmark	Glamsbjerg
Syddanmark	Broager
Midtjylland	Hedensted
Midtjylland	Hornslet
Nordjylland	Fjerritslev
Midtjylland	Toerring
Syddanmark	Vamdrup
Syddanmark	Jelling
Syddanmark	Bolderslev
Syddanmark	Agedrup
Nordjylland	Dybvad
Syddanmark	Bylderup-Bov
Nordjylland	Vraa
Syddanmark	Fanoe
Syddanmark	Noerre Nebel
Syddanmark	Billum
Sjaelland	Klippinge
Syddanmark	Stenstrup
Syddanmark	Gelsted
Sjaelland	Haarlev
Midtjylland	Gjerlev J
Midtjylland	Brande
Midtjylland	Auning
Midtjylland	Gedved
Midtjylland	Hundslund
Midtjylland	Thyholm
Syddanmark	Sjoelund
Sjaelland	Roedby
Midtjylland	Kolind
Midtjylland	Sorring
Nordjylland	Hurup Thy
Nordjylland	Storvorde
Syddanmark	Bredsten
Midtjylland	Baekmarksbro
Midtjylland	Oernhoej
Sjaelland	Dalmose
Midtjylland	Lem St
Midtjylland	Langaa
Hovedstaden	Allinge
Syddanmark	Augustenborg
Syddanmark	Gesten
Midtjylland	Vinderup
Sjaelland	Eskilstrup
Sjaelland	Stensved
Midtjylland	Ryomgaard
Nordjylland	Faarup
Midtjylland	Barrit
Nordjylland	Vadum
Midtjylland	Aulum
Midtjylland	Engesvang
Syddanmark	Skaerbaek
Sjaelland	Stroeby
Midtjylland	Solbjerg
Midtjylland	Thyboroen
Midtjylland	Bjerringbro
Syddanmark	Oksboel
Sjaelland	Vaeggerloese
Midtjylland	Trustrup
Syddanmark	Hoejer
Sjaelland	Idestrup
Sjaelland	Stokkemarke
Midtjylland	Lemming
Sjaelland	Asnaes
Sjaelland	Nysted
Syddanmark	Sommersted
Syddanmark	Vandel
Syddanmark	Gadbjerg
Midtjylland	Hvide Sande
Syddanmark	Hejnsvig
Syddanmark	Martofte
Sjaelland	Jerslev Sjaelland
Syddanmark	Baekke
Hovedstaden	Aakirkeby
Midtjylland	Knebel
Hubei	Wuhan
